year,month,day,hour,wspd,forecast
2009,9,18,22,29.7329998,18.33285641
2009,9,18,23,27.9829998,18.33285641
2009,9,19,0,25.25,18.33285641
2009,9,19,1,21.60000038,18.33285641
2009,9,19,2,20.0170002,18.33285641
2009,9,19,3,17.70000076,18.33285641
2009,9,19,4,16.06699944,18.25640564
2009,9,19,5,14.88300037,16.12543785
2009,9,19,6,14.96700001,15.44510297
2009,9,19,7,14.5,13.49074384
2009,9,19,8,14.53299999,14.00764292
2009,9,19,9,14.30000019,12.91039798
2009,9,19,10,14.16699982,12.90289868
2009,9,19,11,14.86699963,12.90046896
2009,9,19,12,18.66699982,12.88803209
2009,9,19,13,19.86700058,13.40388239
2009,9,19,14,23.85000038,17.2798725
2009,9,19,15,26.63299942,17.9948124
2009,9,19,16,27.78300095,18.34200562
2009,9,19,17,29.60000038,18.33937435
2009,9,19,18,31.43300056,18.33285641
2009,9,19,19,32,18.33285641
2009,9,19,20,32.54999924,18.33285641
2009,9,19,21,30.64999962,18.33285641
2009,9,19,22,29.28300095,18.33285641
2009,9,19,23,25.75,18.33285641
2009,9,20,0,23.45000076,18.33285641
2009,9,20,1,21.79999924,18.33285641
2009,9,20,2,20.95000076,18.33285641
2009,9,20,3,20.7329998,18.33285641
2009,9,20,4,19.56699944,18.33094637
2009,9,20,5,18.28300095,18.32875209
2009,9,20,6,14.83300018,17.88160946
2009,9,20,7,12.53299999,17.34642254
2009,9,20,8,10.08300018,13.39077211
2009,9,20,9,9.366999626,11.83433453
2009,9,20,10,8.282999992,9.50072403
2009,9,20,11,7.717000008,8.725280043
2009,9,20,12,7.5,7.607452804
2009,9,20,13,8.583000183,7.359595777
2009,9,20,14,11.03299999,7.297342286
2009,9,20,15,13.71700001,8.037929351
2009,9,20,16,15.7329998,9.951808196
2009,9,20,17,17.9829998,12.50570044
2009,9,20,18,19.58300018,14.64617224
2009,9,20,19,21.25,17.18401616
2009,9,20,20,22.28300095,17.88493643
2009,9,20,21,19.93300056,18.34292729
2009,9,20,22,23.08300018,18.33937435
2009,9,20,23,22.7329998,18.16141446
2009,9,21,0,21.25,18.33440648
2009,9,21,1,18.64999962,18.33937435
2009,9,21,2,17.10000038,18.33285641
2009,9,21,3,16.04999924,17.34487247
2009,9,21,4,15.28299999,16.01029312
2009,9,21,5,14.21700001,15.34024281
2009,9,21,6,13.5170002,14.50028319
2009,9,21,7,13,12.9480218
2009,9,21,8,14.05000019,12.85318347
2009,9,21,9,14.2670002,12.18066384
2009,9,21,10,14.06700039,12.76001156
2009,9,21,11,13.93299961,12.84389918
2009,9,21,12,13.72500038,12.87383751
2009,9,21,13,13.98900032,12.85601882
2009,9,21,14,14.25300026,12.84151737
2009,9,21,15,14.5170002,12.8519438
2009,9,21,16,20.03300095,12.86812418
2009,9,21,17,24.68300056,12.89241031
2009,9,21,18,27.83300018,18.20475429
2009,9,21,19,26.28300095,18.30569763
2009,9,21,20,24.5,18.33937435
2009,9,21,21,24.16699982,18.33285641
2009,9,21,22,23.35000038,18.33285641
2009,9,21,23,20.45000076,18.33285641
2009,9,22,0,17.2329998,18.33285641
2009,9,22,1,15.64999962,18.32280398
2009,9,22,2,15.33300018,16.04948461
2009,9,22,3,15.58300018,14.60484422
2009,9,22,4,15.10000038,14.52193006
2009,9,22,5,14.14999962,14.57954419
2009,9,22,6,13.71700001,14.24731931
2009,9,22,7,14.35000038,12.93562417
2009,9,22,8,12.61699963,12.85466946
2009,9,22,9,11.13300037,12.89304897
2009,9,22,10,9.916999817,11.92968991
2009,9,22,11,9.633000374,10.21686328
2009,9,22,12,9.546500206,9.207766738
2009,9,22,13,9.460000038,9.058780331
2009,9,22,14,10.96700001,9.05345993
2009,9,22,15,15.30000019,9.009605461
2009,9,22,16,18.39999962,9.937090172
2009,9,22,17,19.18300056,14.11121313
2009,9,22,18,20.56699944,17.14728381
2009,9,22,19,20.08300018,17.54032
2009,9,22,20,19.79999924,18.33387669
2009,9,22,21,21.21699905,18.29055207
2009,9,22,22,21.13299942,18.0157359
2009,9,22,23,19.13299942,18.34092442
2009,9,23,0,17.38299942,18.33937435
2009,9,23,1,13.81700039,17.55080885
2009,9,23,2,11.68299961,16.08221499
2009,9,23,3,11.61699963,12.90488774
2009,9,23,4,11.05000019,11.19306116
2009,9,23,5,10.31700039,10.83669283
2009,9,23,6,10.86699963,9.957251286
2009,9,23,7,8.949999809,9.293542969
2009,9,23,8,9.600000381,9.936795118
2009,9,23,9,9.567000389,8.172680377
2009,9,23,10,9.600000381,9.053164876
2009,9,23,11,9.482999802,9.05345993
2009,9,23,12,10.16699982,9.05345993
2009,9,23,13,10.83300018,9.009605461
2009,9,23,14,13.9829998,9.291979572
2009,9,23,15,19.14999962,9.937090172
2009,9,23,16,22.06699944,12.51785222
2009,9,23,17,23.61700058,17.33614678
2009,9,23,18,24.79999924,18.29860949
2009,9,23,19,25.4829998,18.34045555
2009,9,23,20,23.11700058,18.33285641
2009,9,23,21,26.5170002,18.33285641
2009,9,23,22,26.5,18.33285641
2009,9,23,23,26.11700058,18.33285641
2009,9,24,0,22.36700058,18.33285641
2009,9,24,1,18.9829998,18.33285641
2009,9,24,2,19.33300018,18.33285641
2009,9,24,3,16.56699944,17.48883147
2009,9,24,4,17.66699982,17.82973812
2009,9,24,5,16.79999924,15.92291105
2009,9,24,6,14.38300037,16.11189406
2009,9,24,7,13.83300018,15.96730192
2009,9,24,8,12.78299999,12.95234233
2009,9,24,9,10.38300037,12.88227848
2009,9,24,10,9.899999619,12.06276829
2009,9,24,11,8.817000389,9.777005108
2009,9,24,12,7.699999809,9.204944314
2009,9,24,13,8.25,8.131107231
2009,9,24,14,11.68299961,7.343602859
2009,9,24,15,14.93299961,7.574513895
2009,9,24,16,16.9829998,10.81432194
